41.79000,37.84500,133.94800,636.78000,770.78000
-41.16500,-20.71000,52.55500,92.42000,34.66000
-26.83000,13.37000,82.30500,276.24000,295.69000
108.71000,30.91500,103.63000,378.78000,433.49000
-26.69500,20.32000,62.92500,158.35500,68.54500
9.46000,-25.23000,51.63000,78.37000,29.11000
-6.79000,-14.55000,94.06500,312.01000,343.91000
-4.81000,-23.83000,96.20000,312.01000,384.81000
629.45000,-31.77000,43.06000,67.96000,13.84000
-41.55000,-4.83000,55.85000,107.82000,45.58000
-35.58000,-8.13000,55.68500,127.24000,47.79000
-25.41500,31.06000,67.42000,168.72000,77.40000
370.89000,-0.26000,452.71000,163.49000,71.98000
4.50000,13.22000,88.19000,274.40500,291.85000
191.13000,-13.73000,312.33000,97.08000,1601.13000
97.08000,48.39000,133.94800,633.32000,770.78000
7.72000,-20.40000,51.94000,94.62000,35.47000
-26.18500,-20.40000,66.01000,94.62000,76.23500
433.26700,-7.48000,688.67000,130.92000,51.55000
-4.81000,31.06000,94.47000,377.87000,424.88000
11.67000,43.03000,130.94000,623.33000,734.43000
-27.12000,-56.20000,25.95000,40.96000,-7.30000
-6.83000,11.71000,86.37000,281.14500,304.66500
-12.56500,-11.50000,81.11000,359.31000,387.60000
-26.27000,3.19000,65.97500,152.36000,67.80000
119.42500,0.30500,158.88000,130.92000,1067.45000
13.41500,-1.53000,135.23000,153.14000,1067.45000
211.35000,78.44000,53.60000,94.70500,35.82500
115.91000,40.21000,132.70000,621.37000,734.43000
-48.65000,-13.20000,45.64000,101.35500,34.66000
9.68000,30.91500,123.74000,391.53000,435.10000
117.75700,4.92000,205.46000,200.33000,113.89000
-26.18500,12.06500,66.01000,257.73000,76.23500
2.42000,24.50000,97.27000,373.99700,391.69000
-8.94000,-15.64000,83.26000,94.65000,291.85000
-15.81000,8.29000,79.65000,226.17000,186.34000
-22.76000,1.29500,69.76000,168.72000,95.27000
2.42000,-35.70000,195.07000,64.50000,6.20000
-6.83000,-58.65000,85.43000,257.73000,291.85000
-27.01500,-3.73500,61.52000,142.81000,61.44000
552.22000,43.03000,611.07000,1238.01000,1489.04000
109.39000,76.07000,174.80000,977.61500,1161.37000
-4.81000,12.19000,86.37000,257.01000,283.58000
-20.86000,-8.94000,52.59000,95.27500,36.77500
